date,trade_count,turnover,commission,trading_pnl,holding_pnl,total_pnl,net_pnl,balance,return,highlevel,drawdown,ddpercent
2024-05-06,0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0
2024-05-07,7,84824.0,84.824,-1543.0000000000005,0.0,-1543.0000000000005,-1627.8240000000003,98372.176,-0.016278239999999933,100000.0,-1627.8239999999932,-1.6278239999999888
2024-05-08,0,0.0,0.0,0.0,108.99999999999852,108.99999999999852,108.99999999999852,98481.17599999999,0.0011080368904311463,100000.0,-1518.8240000000078,-1.5188240000000075
2024-05-09,2,19731.0,39.462,42.99999999999926,1799.0000000000048,1842.000000000004,1802.538000000004,100283.714,0.018303376068539386,100283.714,0.0,0.0
2024-05-10,0,0.0,0.0,0.0,-1799.000000000001,-1799.000000000001,-1799.000000000001,98484.714,-0.01793910424976881,100283.714,-1799.0,-1.7939104249768856
2024-05-13,2,29301.0,58.602,445.0000000000003,-784.0000000000018,-339.0000000000015,-397.60200000000145,98087.112,-0.004037195051406795,100283.714,-2196.6020000000135,-2.1903875638271786
2024-05-14,8,103197.0,137.361,1764.9999999999973,-730.0000000000011,1034.9999999999964,897.6389999999963,98984.75099999999,0.009151446930153226,100283.714,-1298.963000000018,-1.2952880863586813
2024-05-15,0,0.0,0.0,0.0,-89.9999999999992,-89.9999999999992,-89.9999999999992,98894.751,-0.00090923095821078,100283.714,-1388.9630000000034,-1.3850334661518415
2024-05-16,0,0.0,0.0,0.0,4.9999999999965326,4.9999999999965326,4.9999999999965326,98899.75099999999,0.00005055880063832152,100283.714,-1383.963000000018,-1.3800476117189042
2024-05-17,2,29257.0,58.513999999999996,-302.000000000001,1613.000000000006,1311.000000000005,1252.486000000005,100152.237,0.012664197708647462,100283.714,-131.4770000000135,-0.13110503665630935
2024-05-20,1,8618.0,17.236,-387.99999999999955,1107.9999999999984,719.9999999999989,702.7639999999989,100855.001,0.007016957594267317,100855.001,0.0,0.0
2024-05-21,8,102838.0,136.808,1590.9999999999957,-1150.999999999999,439.99999999999665,303.19199999999665,101158.193,0.0030062168161596216,101158.193,0.0,0.0
2024-05-22,0,0.0,0.0,0.0,152.0000000000021,152.0000000000021,152.0000000000021,101310.193,0.001502597026421775,101310.193,0.0,0.0
2024-05-23,0,0.0,0.0,0.0,-868.0000000000002,-868.0000000000002,-868.0000000000002,100442.193,-0.008567745991758203,101310.193,-868.0,-0.8567745991758247
2024-05-24,0,0.0,0.0,0.0,-1820.9999999999984,-1820.9999999999984,-1820.9999999999984,98621.193,-0.018129831155717598,101310.193,-2689.0,-2.6542245359260197
2024-05-27,2,18581.0,37.162,-235.99999999999886,-155.00000000000452,-391.0000000000033,-428.16200000000345,98193.03099999999,-0.0043414806389536495,101310.193,-3117.162000000011,-3.0768493353872217
2024-05-28,8,100367.0,148.417,159.00000000000398,-931.9999999999986,-772.9999999999947,-921.4169999999946,97271.614,-0.009383731112241426,101310.193,-4038.578999999998,-3.986350119775206
2024-05-29,0,0.0,0.0,0.0,499.99999999999864,499.99999999999864,499.99999999999864,97771.614,0.00514024574527981,101310.193,-3538.578999999998,-3.4928163644896038
2024-05-30,0,0.0,0.0,0.0,-788.9999999999993,-788.9999999999993,-788.9999999999993,96982.614,-0.008069826892701188,101310.193,-4327.578999999998,-4.27161263033029
2024-05-31,1,10943.999999999998,21.887999999999998,0.0,22.999999999998977,22.999999999998977,1.1119999999989716,96983.726,0.000011465972653549157,101310.193,-4326.467000000004,-4.270515011258547
2024-06-03,0,0.0,0.0,0.0,897.0000000000041,897.0000000000041,897.0000000000041,97880.726,0.009248974410407784,101310.193,-3429.467000000004,-3.3851154542761552
2024-06-04,8,103833.0,144.81,2587.0000000000005,-448.0000000000018,2138.9999999999986,1994.1899999999987,99874.916,0.02037367397540556,101310.193,-1435.2770000000019,-1.41671529537013
